CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Alzheimer's Disease,Death,2016,South Region,Region,SOUTH,4,SOUTH,NA,173,34.53,35.25,,,,,,,,,173,294.75,47,18.81,24.81,,,,,,,,,47,186.44,126,50.17,41.6,,,,,,,,,126,133.65,126,376.3,81,70.19,,,,,,,,,81,356.56,22,35.55,,,,,,,,,22,203.7,59,110.26,,,,,,,,,59,222.35,59,495.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,24.26,,,,,,,,,68,283.53,18,13.32,,,,,,,,,18,188.8,50,34.45,,,,,,,,,50,104.68,50,346.04,17,27.41,,,,,,,,,17,175.55,,,,,,,,,,,,,13,39.34,,,,,,,,,13,84.83,13,220.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Chula Vista,SRA,CHULA VISTA,21,SOUTH,Supervisorial District 1,54,44.79,38.2,,,,,,,,,54,342.99,12,19.97,22.68,,,,,,,,,12,175.58,42,68.33,47.35,,,,,,,,,42,174.66,42,466.17,23,88.03,,,,,,,,,23,360.46,,,,,,,,,,,,,19,147.68,,,,,,,,,19,270.07,19,548.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,30.01,,,,,,,,,23,323.84,,,,,,,,,,,,,18,46.19,,,,,,,,,18,135.83,18,431.87,6,52.66,,,,,,,,,6,311.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Coronado,SRA,CORONADO,3,SOUTH,Supervisorial District 1,15,59.45,37.57,,,,,,,,,15,407.06,5,33.81,31.69,,,,,,,,,5,304.88,10,95.79,41.03,,,,,,,,,10,216.31,10,489,15,86.46,,,,,,,,,15,471.11,5,49.5,,,,,,,,,5,347.95,10,137.97,,,,,,,,,10,266.17,10,572.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,National City,SRA,NATIONAL CITY,4,SOUTH,Supervisorial District 1,10,15.98,15.77,,,,,,,,,10,134.62,,,,,,,,,,,,,,8,26.61,20.47,,,,,,,,,8,71.79,8,185.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16.81,,,,,,,,,6,186.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,South Bay,SRA,SOUTH BAY,22,SOUTH,Supervisorial District 1,43,31.49,37.19,,,,,,,,,43,290.32,13,18.22,26.94,,,,,,,,,13,196.1,30,45.36,43.98,,,,,,,,,30,125.38,30,363.62,16,61.93,,,,,,,,,16,369.37,6,40.99,,,,,,,,,6,267.92,10,89.23,,,,,,,,,10,196.66,10,477.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,27.04,,,,,,,,,23,309.33,7,16.11,,,,,,,,,7,223.93,17,37.52,,,,,,,,,17,112.52,17,367.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Sweetwater,SRA,SWEETWATER,20,SOUTH,Supervisorial District 1,45,30.28,38.69,,,,,,,,,45,293.78,13,17.95,29.07,,,,,,,,,13,198.74,32,41.95,43.99,,,,,,,,,32,116.63,32,364.24,21,60.23,,,,,,,,,21,328.97,5,29.21,,,,,,,,,5,174.31,15,92.75,,,,,,,,,15,192.62,15,465.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19.68,,,,,,,,,15,264.03,,,,,,,,,,,,,10,26.32,,,,,,,,,10,84.61,10,305.04,6,24.92,,,,,,,,,6,217.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Supervisorial District 1,SupervisorDistrict,1ST SUPERVISORIAL DIST,1,NA,Supervisorial District 1,199,31.37,33.86,,,,,,,,,199,279.53,55,17.29,24.51,,,,,,,,,55,181.29,143,45.84,39.47,,,,,,,,,143,124.95,143,353.92,93,62.69,,,,,,,,,93,345.88,26,31.91,,,,,,,,,26,204.05,67,100.55,,,,,,,,,67,211.19,67,474.7,9,22.84,,,,,,,,,9,288.28,,,,,,,,,,,,,5,27.6,,,,,,,,,5,85.81,5,276.41,75,21.76,,,,,,,,,75,267.48,20,11.84,,,,,,,,,20,176.81,55,31.18,,,,,,,,,55,97.79,55,328.2,18,23.04,,,,,,,,,18,150.34,,,,,,,,,,,,,14,34.17,,,,,,,,,14,74.35,14,192.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Santee,Municipal,SANTEE,16,NA,NA,17,30.06,29.13,,,,,,,,,17,210.95,,,,,,,,,,,,,,13,44.66,35.3,,,,,,,,,13,100.33,13,284.09,14,36.48,,,,,,,,,14,214.78,,,,,,,,,,,,,10,51.53,,,,,,,,,10,102.02,10,276.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Supervisorial District 2,SupervisorDistrict,2ND SUPERVISORIAL DIST,2,NA,Supervisorial District 2,305,46.95,38.11,,,,,,,,,304,310.57,92,28.69,30.13,,,,,,,,,92,212.68,213,64.69,43.04,,,,,,,,,213,146.69,212,387.88,261,69.03,,,,,,,,,260,344.18,82,43.54,,,,,,,,,82,240.39,179,94.26,,,,,,,,,179,177.27,178,429.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15.3,,,,,,,,,26,224.53,,,,,,,,,,,,,21,25.25,,,,,,,,,21,87.28,21,319.95,7,13.92,,,,,,,,,7,99.69,,,,,,,,,,,,,6,21.38,,,,,,,,,6,51.57,6,137.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Supervisorial District 3,SupervisorDistrict,3RD SUPERVISORIAL DIST,3,NA,Supervisorial District 3,304,46,42.77,,,,,,,,,302,346.24,95,28.83,34.97,,,,,,,,,94,241.58,209,63,47.24,,,,,,,,,209,151.81,208,430.22,263,78.56,,,,,,,,,261,420.65,83,49.05,,,,,,,,,82,289.24,181,108.44,,,,,,,,,181,209.8,180,530.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12.73,,,,,,,,,20,234.64,7,9.01,,,,,,,,,7,197.67,13,16.36,,,,,,,,,13,65.41,13,260.92,17,13.99,,,,,,,,,17,125.43,,,,,,,,,,,,,13,20.68,,,,,,,,,13,51.21,13,165.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Supervisorial District 4,SupervisorDistrict,4TH SUPERVISORIAL DIST,4,NA,Supervisorial District 4,268,39.2,37.46,,,,,,,,,268,323.15,93,26.54,33.41,,,,,,,,,93,250.7,175,52.45,40.16,,,,,,,,,175,146.41,175,381.6,208,64.21,,,,,,,,,208,386.95,75,43.91,,,,,,,,,75,301.78,134,86.55,,,,,,,,,134,201.42,134,459.34,11,23.8,,,,,,,,,11,193.44,,,,,,,,,,,,,7,34.08,,,,,,,,,7,81.55,7,240.36,24,11.49,,,,,,,,,24,203.76,7,6.5,,,,,,,,,7,141.76,17,16.57,,,,,,,,,17,66.31,17,246.96,24,28.45,,,,,,,,,24,218.87,8,20.36,,,,,,,,,8,179.04,16,35.63,,,,,,,,,16,94.45,16,246.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,Supervisorial District 5,SupervisorDistrict,5TH SUPERVISORIAL DIST,5,NA,Supervisorial District 5,327,49.52,40.59,,,,,,,,,324,354.91,109,32.62,34.45,,,,,,,,,108,267.4,218,66.79,44.72,,,,,,,,,218,164.45,216,424.19,283,84.02,,,,,,,,,281,411.93,97,56.17,,,,,,,,,96,309.77,186,113.22,,,,,,,,,186,216.44,185,496.62,8,32.5,,,,,,,,,8,407.87,,,,,,,,,,,,,5,44.45,,,,,,,,,5,142.14,5,454.92,21,9.59,,,,,,,,,20,162.6,8,7.21,,,,,,,,,8,156.17,13,12.01,,,,,,,,,13,46.94,12,167.14,10,17.94,,,,,,,,,10,132.35,,,,,,,,,,,,,9,29.43,,,,,,,,,9,69.47,9,189.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Carlsbad,Municipal,CARLSBAD,1,NA,NA,69,61.24,47.42,,,,,,,,,69,401.43,21,38.36,37.55,,,,,,,,,21,275.54,48,83.39,54.08,,,,,,,,,48,179.58,48,503.87,64,85.54,,,,,,,,,64,459.84,19,51.78,,,,,,,,,19,301.75,45,118.92,,,,,,,,,45,223.67,45,593.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,ED Discharge,2016,Southeastern San Diego,SRA,SOUTHEASTERN SAN DIEGO,5,CENTRAL,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Chula Vista,Municipal,CHULA VISTA,2,NA,NA,95,35.93,38.32,,,,,,,,,95,317.14,23,18.08,25.01,,,,,,,,,23,182.9,72,52.82,45.93,,,,,,,,,72,142.31,72,416.08,40,69.04,,,,,,,,,40,335.98,9,29.46,,,,,,,,,9,157.32,31,111,,,,,,,,,31,220.04,31,493.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,25.06,,,,,,,,,37,301.98,8,11.76,,,,,,,,,8,171.23,29,37.07,,,,,,,,,29,114.28,29,386.43,12,33.62,,,,,,,,,12,261.75,,,,,,,,,,,,,8,41.95,,,,,,,,,8,95.36,8,281.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Coronado,Municipal,CORONADO,3,NA,NA,15,59.45,37.57,,,,,,,,,15,407.06,5,33.81,31.69,,,,,,,,,5,304.88,10,95.79,41.03,,,,,,,,,10,216.31,10,489,15,86.46,,,,,,,,,15,471.11,5,49.5,,,,,,,,,5,347.95,10,137.97,,,,,,,,,10,266.17,10,572.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Del Mar,Municipal,DEL MAR,4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of El Cajon,Municipal,EL CAJON,5,NA,NA,42,40.85,33.28,,,,,,,,,41,279.81,9,17.62,18.37,,,,,,,,,9,137.88,33,63.5,42.9,,,,,,,,,33,148.19,32,389.92,32,53.85,,,,,,,,,31,268.78,8,27.76,,,,,,,,,8,156.02,23,79.53,,,,,,,,,23,152.03,23,359.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,24.52,,,,,,,,,7,386.47,,,,,,,,,,,,,6,45.7,,,,,,,,,6,159.71,6,600.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Encinitas,Municipal,ENCINITAS,6,NA,NA,51,83.05,55.06,,,,,,,,,51,493.25,13,42.5,35.6,,,,,,,,,12,263.37,38,122.85,67.14,,,,,,,,,38,257.57,38,680.56,49,111.29,,,,,,,,,48,552.17,12,55.48,,,,,,,,,11,285.14,36,167.09,,,,,,,,,36,308.41,36,774.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Escondido,Municipal,ESCONDIDO,7,NA,NA,108,71.38,61.99,,,,,,,,,107,536.68,32,43.41,52.14,,,,,,,,,32,372.29,75,98.83,66.66,,,,,,,,,75,250.17,74,664.74,98,149.12,,,,,,,,,97,669.67,31,94.35,,,,,,,,,31,476.24,67,202.45,,,,,,,,,67,368.15,66,823.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.93,,,,,,,,,5,137.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Imperial Beach,Municipal,IMPERIAL BEACH,8,NA,NA,9,32.81,38.99,,,,,,,,,9,300.5,,,,,,,,,,,,,,5,36.17,33.29,,,,,,,,,5,102.27,5,309.41,6,60.34,,,,,,,,,6,369.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of La Mesa,Municipal,LA MESA,9,NA,NA,36,60.38,37.63,,,,,,,,,36,398.85,12,41.31,36.14,,,,,,,,,12,323.65,24,78.45,39.06,,,,,,,,,24,183.6,24,451.14,33,93.02,,,,,,,,,33,454.41,11,63.69,,,,,,,,,11,367.7,22,121.11,,,,,,,,,22,232.25,22,515.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Lemon Grove,Municipal,LEMON GROVE,10,NA,NA,16,60.13,50.8,,,,,,,,,16,447.93,,,,,,,,,,,,,,12,88.82,61.15,,,,,,,,,12,214.13,12,575.82,11,105.16,,,,,,,,,11,536.59,,,,,,,,,,,,,9,171.92,,,,,,,,,9,329.79,9,776.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of National City,Municipal,NATIONAL CITY,11,NA,NA,10,16.44,16.09,,,,,,,,,10,137.77,,,,,,,,,,,,,,8,27.03,20.69,,,,,,,,,8,72.72,8,188.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16.8,,,,,,,,,6,185.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Oceanside,Municipal,OCEANSIDE,12,NA,NA,87,49.56,37.04,,,,,,,,,87,346.21,28,32.24,30.22,,,,,,,,,28,256.91,59,66.51,41.71,,,,,,,,,59,163.54,59,414.62,73,88.78,,,,,,,,,73,414.15,24,58.39,,,,,,,,,24,305.74,49,119.15,,,,,,,,,49,228.98,49,501.2,6,93.82,,,,,,,,,6,846.49,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9.54,,,,,,,,,6,157.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2016,City of Poway,Municipal,POWAY,13,NA,NA,37,73.68,58.01,,,,,,,,,37,449.3,10,40.48,40.5,,,,,,,,,10,269.47,27,105.83,69.02,,,,,,,,,27,213.12,27,596.82,34,104.89,,,,,,,,,34,530.5,10,61.76,,,,,,,,,10,335.23,24,147.95,,,,,,,,,24,259.57,24,700.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
